TimeInSeconds,FrameTimeMs,FPS
5.69469,9.76,102.47
5.70445,10.57,94.57
5.71502,9.28,107.71
5.72431,11.66,85.73
5.73597,11.27,88.73
5.74724,10.33,96.80
5.75757,8.57,116.67
5.76615,9.61,104.05
5.77576,9.73,102.75
5.78549,8.43,118.68
5.79391,9.00,111.10
5.80291,9.90,100.96
5.81282,10.22,97.87
5.82304,10.82,92.41
5.83386,9.07,110.22
5.84293,10.10,99.00
5.85303,10.54,94.84
5.86358,14.00,71.41
5.87758,11.49,87.03
5.88907,9.18,108.92
5.89825,9.36,106.83
5.90761,10.17,98.30
5.91779,10.61,94.27
5.92839,9.85,101.52
5.93824,12.39,80.71
5.95063,25.00,40.00
5.97563,16.87,59.27
5.99251,5.03,198.61
5.99754,10.35,96.63
6.00789,11.23,89.08
6.01912,9.26,107.99
6.02838,11.91,83.97
6.04028,13.66,73.18
6.05395,17.79,56.20
6.07174,8.07,123.90
6.07981,10.19,98.14
6.09000,10.63,94.11
6.10063,10.61,94.24
6.11124,12.54,79.75
6.12378,10.62,94.18
6.13440,9.67,103.45
6.14406,11.68,85.58
6.15575,10.46,95.60
6.16621,11.24,88.94
6.17745,9.69,103.21
6.18714,11.83,84.53
6.19897,11.56,86.51
6.21053,10.25,97.59
6.22078,10.90,91.77
6.23168,9.77,102.35
6.24145,10.12,98.80
6.25157,10.29,97.21
6.26186,9.71,103.04
6.27156,10.52,95.04
6.28208,9.91,100.90
6.29199,10.38,96.37
6.30237,9.61,104.05
6.31198,10.76,92.94
6.32274,10.17,98.34
6.33291,9.52,105.05
6.34243,9.63,103.83
6.35206,11.19,89.36
6.36325,10.57,94.61
6.37382,11.60,86.20
6.38542,10.74,93.10
6.39616,10.75,93.05
6.40691,11.54,86.65
6.41845,14.11,70.88
6.43256,14.82,67.46
6.44738,10.69,93.51
6.45808,10.97,91.19
6.46904,10.37,96.40
6.47942,11.70,85.45
6.49112,9.80,102.04
6.50092,11.03,90.67
6.51195,10.25,97.52
6.52220,10.62,94.15
6.53282,10.29,97.20
6.54311,10.81,92.52
6.55392,9.49,105.37
6.56341,10.91,91.63
6.57432,9.70,103.14
6.58402,8.99,111.23
6.59301,11.42,87.57
6.60443,12.68,78.85
6.61711,12.75,78.46
6.62986,12.74,78.51
6.64259,16.87,59.28
6.65946,19.09,52.39
6.67855,5.04,198.44
6.68359,9.29,107.64
6.69288,11.54,86.68
6.70442,11.37,87.94
6.71579,10.11,98.90
6.72590,10.98,91.05
6.73688,12.50,80.02
6.74938,11.09,90.13
6.76047,11.64,85.88
6.77212,11.09,90.14
6.78321,10.03,99.69
6.79324,11.11,89.99
6.80435,12.33,81.13
6.81668,11.95,83.71
6.82863,11.54,86.62
6.84017,11.38,87.86
6.85155,11.46,87.26
6.86301,10.41,96.03
6.87343,10.18,98.26
6.88360,11.52,86.78
6.89513,9.95,100.47
6.90508,10.87,92.03
6.91595,11.55,86.59
6.92750,9.65,103.59
6.93715,10.78,92.76
6.94793,10.74,93.07
6.95867,11.86,84.30
6.97054,12.48,80.11
6.98302,11.65,85.81
6.99467,13.39,74.69
7.00806,8.54,117.08
7.01660,10.50,95.28
7.02710,10.66,93.83
7.03775,11.60,86.23
7.04935,10.90,91.78
7.06025,12.93,77.35
7.07318,12.94,77.27
7.08612,11.67,85.69
7.09779,11.42,87.54
7.10921,10.25,97.57
7.11946,9.83,101.68
7.12929,10.50,95.26
7.13979,11.15,89.72
7.15094,9.96,100.42
7.16089,11.62,86.03
7.17252,10.61,94.23
7.18313,11.36,88.05
7.19449,12.25,81.63
7.20674,12.37,80.82
7.21911,10.51,95.11
7.22963,9.47,105.58
7.23910,10.64,94.03
7.24973,10.44,95.80
7.26017,10.40,96.19
7.27057,11.78,84.85
7.28235,11.22,89.11
7.29357,10.73,93.15
7.30431,11.68,85.64
7.31599,10.41,96.10
7.32639,10.56,94.66
7.33696,9.28,107.72
7.34624,10.09,99.15
7.35633,11.04,90.59
7.36737,9.81,101.96
7.37717,10.63,94.10
7.38780,10.85,92.15
7.39865,13.90,71.97
7.41255,8.21,121.79
7.42076,12.41,80.55
7.43317,10.05,99.47
7.44323,9.85,101.51
7.45308,10.01,99.93
7.46308,9.78,102.29
7.47286,10.36,96.54
7.48322,10.50,95.27
7.49371,10.67,93.69
7.50439,11.87,84.24
7.51626,11.17,89.56
7.52742,10.02,99.78
7.53745,10.57,94.62
7.54802,9.84,101.66
7.55785,9.30,107.56
7.56715,10.78,92.80
7.57792,12.66,78.99
7.59058,10.93,91.50
7.60151,10.66,93.78
7.61218,11.62,86.06
7.62380,11.81,84.69
7.63561,11.19,89.35
7.64680,11.62,86.02
7.65842,9.69,103.20
7.66811,11.31,88.44
7.67942,9.99,100.13
7.68941,10.59,94.44
7.69999,10.00,99.99
7.71000,10.37,96.40
7.72037,13.01,76.86
7.73338,13.61,73.49
7.74699,10.68,93.68
7.75766,10.58,94.56
7.76824,9.34,107.08
7.77758,9.88,101.20
7.78746,9.92,100.79
7.79738,12.21,81.93
7.80959,11.61,86.11
7.82120,13.54,73.87
7.83474,10.40,96.13
7.84514,11.37,87.93
7.85651,10.52,95.09
7.86703,11.97,83.56
7.87899,13.01,76.89
7.89200,13.52,73.99
7.90551,12.50,80.02
7.91801,10.78,92.73
7.92880,9.98,100.20
7.93878,10.16,98.40
7.94894,9.89,101.07
7.95883,11.00,90.94
7.96983,11.11,90.04
7.98094,10.53,95.00
7.99146,9.79,102.13
8.00125,9.94,100.57
8.01120,10.29,97.17
8.02149,10.72,93.24
8.03221,9.86,101.40
8.04208,9.52,105.04
8.05160,9.55,104.74
8.06114,9.64,103.69
8.07079,9.46,105.71
8.08025,10.66,93.80
8.09091,8.67,115.35
8.09958,12.03,83.11
8.11161,12.50,79.99
8.12411,10.26,97.45
8.13438,10.21,97.93
8.14459,9.64,103.78
8.15422,9.66,103.50
8.16388,9.85,101.48
8.17374,10.23,97.76
8.18397,10.87,91.99
8.19484,9.66,103.47
8.20450,11.26,88.78
8.21577,10.65,93.94
8.22641,10.85,92.19
8.23726,10.55,94.78
8.24781,12.13,82.41
8.25995,9.97,100.33
8.26991,9.80,102.02
8.27972,10.00,100.03
8.28971,10.15,98.55
8.29986,9.39,106.47
8.30925,12.41,80.57
8.32166,11.30,88.53
8.33296,11.22,89.15
8.34418,10.59,94.39
8.35477,10.03,99.69
8.36480,10.13,98.75
8.37493,11.41,87.62
8.38634,9.30,107.54
8.39564,12.03,83.14
8.40767,12.25,81.62
8.41992,11.72,85.31
8.43164,11.16,89.64
8.44280,12.46,80.25
8.45526,7.66,130.54
8.46292,11.23,89.05
8.47415,12.07,82.82
8.48622,12.41,80.59
8.49863,11.19,89.36
8.50982,12.25,81.65
8.52207,11.17,89.55
8.53323,10.86,92.11
8.54409,10.73,93.24
8.55482,13.56,73.77
8.56837,10.09,99.10
8.57846,10.22,97.88
8.58868,10.70,93.44
8.59938,9.12,109.68
8.60850,12.08,82.76
8.62058,11.19,89.35
8.63177,9.72,102.93
8.64149,11.31,88.40
8.65280,11.07,90.37
8.66387,9.71,103.04
8.67357,10.61,94.28
8.68418,9.73,102.78
8.69391,9.72,102.83
8.70363,10.77,92.81
8.71441,11.97,83.58
8.72637,13.00,76.90
8.73938,8.61,116.13
8.74799,11.01,90.84
8.75900,11.32,88.31
8.77032,9.67,103.42
8.77999,10.26,97.43
8.79025,9.84,101.59
8.80010,13.09,76.37
8.81319,13.01,76.86
8.82620,12.17,82.16
8.83837,11.80,84.71
8.85018,11.36,88.05
8.86153,10.31,96.98
8.87185,10.63,94.10
8.88247,11.27,88.73
8.89374,10.89,91.79
8.90464,10.14,98.58
8.91478,10.15,98.52
8.92493,11.97,83.58
8.93690,10.41,96.09
8.94730,10.31,97.02
8.95761,10.19,98.09
8.96780,9.80,102.03
8.97761,11.71,85.37
8.98932,19.09,52.39
9.00841,10.08,99.24
9.01849,11.93,83.85
9.03041,22.61,44.23
9.05302,10.63,94.06
9.06365,10.51,95.15
9.07416,12.34,81.06
9.08650,16.28,61.42
9.10278,9.81,101.94
9.11259,10.12,98.77
9.12271,10.90,91.77
9.13361,10.43,95.89
9.14404,11.59,86.27
9.15563,10.64,94.02
9.16626,10.52,95.03
9.17679,10.14,98.60
9.18693,12.66,78.96
9.19959,11.40,87.73
9.21099,10.19,98.18
9.22118,9.57,104.51
9.23075,11.45,87.34
9.24220,10.66,93.82
9.25285,11.87,84.27
9.26472,11.71,85.43
9.27643,10.44,95.77
9.28687,11.47,87.19
9.29834,12.06,82.94
9.31039,11.47,87.20
9.32186,10.27,97.36
9.33213,9.88,101.26
9.34201,13.59,73.56
9.35560,11.07,90.31
9.36668,11.79,84.83
